time,open,high,low,close,volume,ticker
2020-01-02,38970,39480,38750,39220,386290,VCB
2020-01-03,39520,39660,38840,38840,536130,VCB
2020-01-06,38540,38660,37790,37790,880110,VCB
2020-01-07,37580,37970,36890,37920,1013270,VCB
2020-01-08,37540,37970,37240,37580,722280,VCB
2020-01-09,37880,38400,37880,38320,722670,VCB
2020-01-10,38320,39050,37970,38660,1526920,VCB
2020-01-13,38450,38800,38450,38620,1044640,VCB
2020-01-14,38660,38880,38490,38620,1001130,VCB
2020-01-15,38710,38710,38360,38580,1471860,VCB
2020-01-16,38580,39010,38400,38660,1171580,VCB
2020-01-17,38660,40820,38660,40820,2219790,VCB
2020-01-20,40820,40950,40390,40600,832190,VCB
2020-01-21,40560,40860,40430,40600,749590,VCB
2020-01-22,40600,41040,40220,40350,877710,VCB
2020-01-30,39780,39920,37580,38400,3541560,VCB
2020-01-31,38010,38800,37880,38320,1270160,VCB
2020-02-03,36330,38970,35850,38320,1457070,VCB
2020-02-04,38450,38800,37880,38800,1118410,VCB
2020-02-05,38970,39050,38360,38400,731310,VCB
2020-02-06,38620,39260,38360,38620,889570,VCB
2020-02-07,38800,39220,38450,38880,1170540,VCB
2020-02-10,38540,38660,38230,38400,607060,VCB
2020-02-11,38450,38660,38400,38540,520210,VCB
2020-02-12,38800,38800,38490,38620,609750,VCB
2020-02-13,38540,38660,38360,38580,633270,VCB
2020-02-14,38450,38800,38450,38580,432800,VCB
2020-02-17,38580,38840,38490,38620,343900,VCB
2020-02-18,38710,38710,38450,38620,432880,VCB
2020-02-19,38450,38660,38450,38660,264010,VCB
2020-02-20,38750,39050,38540,38660,541120,VCB
2020-02-21,38660,38660,38450,38450,898350,VCB
2020-02-24,37150,38010,37150,37670,995910,VCB
2020-02-25,37150,37580,37060,37240,1229530,VCB
2020-02-26,37150,37150,36290,36710,1163030,VCB
2020-02-27,36290,36540,35810,36290,1227980,VCB
2020-02-28,34610,36030,34610,35590,1710080,VCB
2020-03-02,35200,35510,35120,35330,668980,VCB
2020-03-03,36070,36070,35510,35510,848270,VCB
2020-03-04,35420,35420,34980,35290,581530,VCB
2020-03-05,35510,36110,35510,35900,833710,VCB
2020-03-06,35850,37020,35420,36500,884750,VCB
2020-03-09,34120,34940,33950,33950,1209500,VCB
2020-03-10,33690,34520,32570,34520,1433230,VCB
2020-03-11,34730,34730,32140,33270,1806190,VCB
2020-03-12,31100,31540,30970,30970,1582400,VCB
2020-03-13,28810,31540,28810,30680,1859750,VCB
2020-03-16,30680,30680,28730,28990,1022550,VCB
2020-03-17,27470,29160,27470,29160,1364590,VCB
2020-03-18,29380,30540,29380,29930,1099800,VCB
2020-03-19,29070,29670,28510,28510,1191150,VCB
2020-03-20,28510,28640,26570,26570,2763360,VCB
2020-03-23,24880,25270,24710,24710,1875070,VCB
2020-03-24,24710,25230,24450,25060,1498070,VCB
2020-03-25,25920,26780,25790,26780,1835730,VCB
2020-03-26,26780,27950,26570,27300,1484590,VCB
2020-03-27,27350,28470,27000,27690,1569620,VCB
2020-03-30,25960,26530,25830,26350,1637330,VCB
2020-03-31,26570,27690,25920,26780,957500,VCB
2020-04-01,26570,28470,26570,28080,1229320,VCB
2020-04-03,28080,28640,27650,28290,1726690,VCB
2020-04-06,29160,29500,28510,29380,2111200,VCB
2020-04-07,29380,29810,28850,29450,1773570,VCB
2020-04-08,28940,29450,28850,29160,1778380,VCB
2020-04-09,29380,31100,29380,30680,1795170,VCB
2020-04-10,30680,31050,30070,30500,1599380,VCB
2020-04-13,30500,31010,30240,30590,1046830,VCB
2020-04-14,30460,30590,29290,30190,1944570,VCB
2020-04-15,30110,30800,30110,30630,1017740,VCB
2020-04-16,30240,30760,30150,30760,1057050,VCB
2020-04-17,30880,31010,30630,30840,1473140,VCB
2020-04-20,30970,31280,30590,31050,1026030,VCB
2020-04-21,30680,30880,29290,30880,2159110,VCB
2020-04-22,29810,30720,29810,29930,1612290,VCB
2020-04-23,30680,30680,29720,29890,1201610,VCB
2020-04-24,29890,30070,29160,29760,972170,VCB
2020-04-27,30190,30190,28850,28850,2547060,VCB
2020-04-28,28850,29590,28160,28940,2052860,VCB
2020-04-29,29380,29420,28940,29380,1523750,VCB
2020-05-04,29380,29420,28850,29110,852260,VCB
2020-05-05,29070,29250,28850,28850,1007640,VCB
2020-05-06,29070,29250,28730,29200,855770,VCB
2020-05-07,29290,30110,29250,30110,1936540,VCB
2020-05-08,30240,32060,30150,31750,3865590,VCB
2020-05-11,32180,32180,31320,32180,1696160,VCB
2020-05-12,32220,32830,32140,32659,2199500,VCB
2020-05-13,32659,33040,31100,32659,1851970,VCB
2020-05-14,32400,33000,32350,32830,2121750,VCB
2020-05-15,33000,33040,32659,32830,1596240,VCB
